pedestrianId endTime-PID5
1 35.59999999999994
2 45.1999999999999
3 40.79999999999992
4 35.59999999999994
5 38.39999999999993
6 39.199999999999925
7 38.39999999999993
8 45.5999999999999
9 34.39999999999994
10 26.39999999999997
11 35.19999999999994
12 36.79999999999993
13 36.79999999999993
14 41.19999999999992
15 48.39999999999989
16 48.79999999999989
17 47.99999999999989
18 30.399999999999956
19 21.599999999999987
20 33.199999999999946
21 41.599999999999916
22 27.999999999999964
23 41.999999999999915
24 25.599999999999973
25 40.39999999999992
26 44.399999999999906
27 38.799999999999926
28 43.99999999999991
29 32.79999999999995
30 38.39999999999993
31 42.79999999999991
32 39.99999999999992
33 43.99999999999991
34 36.399999999999935
35 37.99999999999993
36 46.3999999999999
37 42.79999999999991
38 45.5999999999999
39 28.399999999999963
40 41.19999999999992
41 36.79999999999993
42 40.79999999999992
43 33.99999999999994
44 40.79999999999992
45 30.399999999999956
46 35.999999999999936
47 35.999999999999936
48 37.19999999999993
49 32.79999999999995
50 45.9999999999999
51 37.99999999999993
52 35.19999999999994
53 37.99999999999993
54 51.59999999999988
55 51.19999999999988
56 37.19999999999993
57 30.799999999999955
58 42.79999999999991
59 36.399999999999935
60 45.1999999999999
61 32.39999999999995
62 37.99999999999993
63 43.99999999999991
64 48.39999999999989
65 53.59999999999987
66 36.399999999999935
67 32.39999999999995
68 29.59999999999996
69 43.99999999999991
70 39.99999999999992
71 43.19999999999991
72 39.199999999999925
73 30.799999999999955
74 38.799999999999926
75 29.19999999999996
76 49.19999999999989
77 44.399999999999906
78 31.199999999999953
79 37.99999999999993
80 37.99999999999993
81 40.79999999999992
82 25.599999999999973
83 46.7999999999999
84 49.999999999999886
85 39.99999999999992
86 24.399999999999977
87 37.19999999999993
88 37.19999999999993
89 49.19999999999989
90 25.99999999999997
91 46.7999999999999
92 39.59999999999992
93 41.19999999999992
94 35.19999999999994
95 23.19999999999998
96 44.799999999999905
97 39.99999999999992
98 39.199999999999925
99 41.999999999999915
100 25.199999999999974
